# Program:featureCounts v2.0.6; Command:"featureCounts" "-Q" "20" "-s" "2" "-p" "-a" "/storage/projects/QUO1015788/ref/REF_cds.gtf" "-T" "5" "-F" "SAF" "-o" "/storage/projects/QUO1015788/2209_6/2209_6_cds" "/storage/projects/QUO1015788/2209_6/2209_6.sam" 
Geneid	Chr	Start	End	Strand	Length	/storage/projects/QUO1015788/2209_6/2209_6.sam
PFLU_0001	OV986001.1	0	1506	+	1507	5372
PFLU_0002	OV986001.1	1544	2648	+	1105	6603
PFLU_0003	OV986001.1	2668	3772	+	1105	3294
PFLU_0004	OV986001.1	3776	6194	+	2419	12946
PFLU_0005	OV986001.1	6298	7021	-	724	841
PFLU_0006	OV986001.1	7283	8240	+	958	279
PFLU_0007	OV986001.1	8243	10523	+	2281	466
PFLU_0008	OV986001.1	10705	11476	-	772	835
PFLU_0009	OV986001.1	11558	12095	-	538	2429
PFLU_0010	OV986001.1	12097	14152	-	2056	7313
PFLU_0011	OV986001.1	14148	15102	-	955	2186
PFLU_0012	OV986001.1	15183	15741	+	559	198
PFLU_0013	OV986001.1	15783	16671	+	889	1266
PFLU_0014	OV986001.1	16805	17117	-	313	46
PFLU_0015	OV986001.1	17257	18631	-	1375	1126
PFLU_0016	OV986001.1	18653	19964	-	1312	929
PFLU_0017	OV986001.1	19960	20914	-	955	470
PFLU_0018	OV986001.1	20983	21490	-	508	1609
PFLU_0019	OV986001.1	21625	22417	+	793	261
PFLU_0020	OV986001.1	22480	23575	+	1096	226
PFLU_0021	OV986001.1	23629	24187	+	559	255
PFLU_0022	OV986001.1	24334	25312	-	979	1727
PFLU_0023	OV986001.1	25471	26404	+	934	3152
PFLU_0024	OV986001.1	26403	27222	+	820	2764
PFLU_0025	OV986001.1	27273	28842	-	1570	295
PFLU_0026	OV986001.1	28939	29854	-	916	127
PFLU_0027	OV986001.1	29872	31387	-	1516	86
PFLU_0028	OV986001.1	31490	32441	+	952	147
PFLU_0029	OV986001.1	32454	32802	+	349	105
PFLU_0030	OV986001.1	32898	33858	+	961	162
